,nulos,porcentaje
YEAR,0,0.0
MONTH,0,0.0
DAY,0,0.0
DAY_OF_WEEK,0,0.0
AIRLINE,0,0.0
FLIGHT_NUMBER,0,0.0
TAIL_NUMBER,14721,0.25297817747447665
ORIGIN_AIRPORT,0,0.0
DESTINATION_AIRPORT,0,0.0
SCHEDULED_DEPARTURE,0,0.0
DEPARTURE_TIME,86153,1.4805263857046793
DEPARTURE_DELAY,86153,1.4805263857046793
TAXI_OUT,89047,1.5302593417274453
WHEELS_OFF,89047,1.5302593417274453
SCHEDULED_TIME,6,0.00010310910025452482
ELAPSED_TIME,105071,1.8056293788071962
AIR_TIME,105071,1.8056293788071962
DISTANCE,0,0.0
WHEELS_ON,92513,1.5898220319744756
TAXI_IN,92513,1.5898220319744756
SCHEDULED_ARRIVAL,0,0.0
ARRIVAL_TIME,92513,1.5898220319744756
ARRIVAL_DELAY,105071,1.8056293788071962
DIVERTED,0,0.0
CANCELLED,0,0.0
CANCELLATION_REASON,5729195,98.45535693878705
AIR_SYSTEM_DELAY,4755640,81.72496025573807
SECURITY_DELAY,4755640,81.72496025573807
AIRLINE_DELAY,4755640,81.72496025573807
LATE_AIRCRAFT_DELAY,4755640,81.72496025573807
WEATHER_DELAY,4755640,81.72496025573807
